Player_League_ID;Metrica;Valor
Kevin Punter_Euroleague_Barca_2026;FT%;0,866
Johnny Berhanemeskel_French-Jeep-Elite_Le Mans Sarthe Basket_2026;FT%;0,911
Jared Rhoden_French-Jeep-Elite_Paris Basketball_2026;FT%;0,846
Andreas Obst_German-BBL_Bayern Munich_2026;FT%;0,888
Francis Alonso_Spanish-ACB_Rio Breogan_2026;FT%;0,894
Cameron Hunt_Spanish-ACB_Joventut Badalona_2026;FT%;0,898
Markus Howard_Spanish-ACB_Baskonia_2026;FT%;0,913
Hugo Besson_Turkish-BSL_Tofas SC_2026;FT%;0,832
John Blackwell_NCAA DivisionI_Wisconsin_2026;FT%;0,85
Lester Quinones_G-League-Regular_Season_2026;FT%;0,841
Chris Youngblood_G-League-Regular_Season_2026;FT%;0,867
Kevin Punter_Euroleague_Barca_2026;TOV%;12,1
Johnny Berhanemeskel_French-Jeep-Elite_Le Mans Sarthe Basket_2026;TOV%;8,5
Jared Rhoden_French-Jeep-Elite_Paris Basketball_2026;TOV%;12,8
Andreas Obst_German-BBL_Bayern Munich_2026;TOV%;10,3
Francis Alonso_Spanish-ACB_Rio Breogan_2026;TOV%;11,8
Cameron Hunt_Spanish-ACB_Joventut Badalona_2026;TOV%;12,3
Markus Howard_Spanish-ACB_Baskonia_2026;TOV%;16,0
Hugo Besson_Turkish-BSL_Tofas SC_2026;TOV%;12,1
John Blackwell_NCAA DivisionI_Wisconsin_2026;TOV%;9,35
Lester Quinones_G-League-Regular_Season_2026;TOV%;11,4
Chris Youngblood_G-League-Regular_Season_2026;TOV%;14,2
Kevin Punter_Euroleague_Barca_2026;STL%;2,1
Johnny Berhanemeskel_French-Jeep-Elite_Le Mans Sarthe Basket_2026;STL%;1,3
Jared Rhoden_French-Jeep-Elite_Paris Basketball_2026;STL%;2,0
Andreas Obst_German-BBL_Bayern Munich_2026;STL%;1,9
Francis Alonso_Spanish-ACB_Rio Breogan_2026;STL%;1,6
Cameron Hunt_Spanish-ACB_Joventut Badalona_2026;STL%;1,6
Markus Howard_Spanish-ACB_Baskonia_2026;STL%;1,8
Hugo Besson_Turkish-BSL_Tofas SC_2026;STL%;1,7
John Blackwell_NCAA DivisionI_Wisconsin_2026;STL%;1,89
Lester Quinones_G-League-Regular_Season_2026;STL%;1,5
Chris Youngblood_G-League-Regular_Season_2026;STL%;2,0
Kevin Punter_Euroleague_Barca_2026;USG%;25,0
Johnny Berhanemeskel_French-Jeep-Elite_Le Mans Sarthe Basket_2026;USG%;25,5
Jared Rhoden_French-Jeep-Elite_Paris Basketball_2026;USG%;26,1
Andreas Obst_German-BBL_Bayern Munich_2026;USG%;28,4
Francis Alonso_Spanish-ACB_Rio Breogan_2026;USG%;25,3
Cameron Hunt_Spanish-ACB_Joventut Badalona_2026;USG%;24,7
Markus Howard_Spanish-ACB_Baskonia_2026;USG%;28,0
Hugo Besson_Turkish-BSL_Tofas SC_2026;USG%;23,1
John Blackwell_NCAA DivisionI_Wisconsin_2026;USG%;26,56
Lester Quinones_G-League-Regular_Season_2026;USG%;26,9
Chris Youngblood_G-League-Regular_Season_2026;USG%;26,9
Kevin Punter_Euroleague_Barca_2026;PPS;1,4
Johnny Berhanemeskel_French-Jeep-Elite_Le Mans Sarthe Basket_2026;PPS;1,5
Jared Rhoden_French-Jeep-Elite_Paris Basketball_2026;PPS;1,4
Andreas Obst_German-BBL_Bayern Munich_2026;PPS;1,5
Francis Alonso_Spanish-ACB_Rio Breogan_2026;PPS;1,6
Cameron Hunt_Spanish-ACB_Joventut Badalona_2026;PPS;1,5
Markus Howard_Spanish-ACB_Baskonia_2026;PPS;1,5
Hugo Besson_Turkish-BSL_Tofas SC_2026;PPS;1,4
John Blackwell_NCAA DivisionI_Wisconsin_2026;PPS;1,39
Lester Quinones_G-League-Regular_Season_2026;PPS;1,5
Chris Youngblood_G-League-Regular_Season_2026;PPS;1,4
Kevin Punter_Euroleague_Barca_2026;eFG%;0,549
Johnny Berhanemeskel_French-Jeep-Elite_Le Mans Sarthe Basket_2026;eFG%;0,598
Jared Rhoden_French-Jeep-Elite_Paris Basketball_2026;eFG%;0,568
Andreas Obst_German-BBL_Bayern Munich_2026;eFG%;0,57
Francis Alonso_Spanish-ACB_Rio Breogan_2026;eFG%;0,566
Cameron Hunt_Spanish-ACB_Joventut Badalona_2026;eFG%;0,576
Markus Howard_Spanish-ACB_Baskonia_2026;eFG%;0,579
Hugo Besson_Turkish-BSL_Tofas SC_2026;eFG%;0,538
John Blackwell_NCAA DivisionI_Wisconsin_2026;eFG%;0,53
Lester Quinones_G-League-Regular_Season_2026;eFG%;0,6
Chris Youngblood_G-League-Regular_Season_2026;eFG%;0,546
Kevin Punter_Euroleague_Barca_2026;AST%;16,3
Johnny Berhanemeskel_French-Jeep-Elite_Le Mans Sarthe Basket_2026;AST%;12,5
Jared Rhoden_French-Jeep-Elite_Paris Basketball_2026;AST%;14,0
Andreas Obst_German-BBL_Bayern Munich_2026;AST%;15,3
Francis Alonso_Spanish-ACB_Rio Breogan_2026;AST%;10,4
Cameron Hunt_Spanish-ACB_Joventut Badalona_2026;AST%;18,0
Markus Howard_Spanish-ACB_Baskonia_2026;AST%;10,6
Hugo Besson_Turkish-BSL_Tofas SC_2026;AST%;13,2
John Blackwell_NCAA DivisionI_Wisconsin_2026;AST%;13,33
Lester Quinones_G-League-Regular_Season_2026;AST%;14,1
Chris Youngblood_G-League-Regular_Season_2026;AST%;17,1
